django INFO 2025-02-25 10:29:04,574 views 31236 27216 User asked for personal data stored: matt4
django INFO 2025-02-25 10:29:05,253 views 31236 27216 User logged in: matt4
django INFO 2025-02-25 10:29:05,291 views 31236 27216 User asked for personal data stored: matt4
django INFO 2025-02-25 10:29:05,650 views 31236 27216 User logged in: testuser
django.utils.autoreload INFO 2025-02-25 10:31:25,894 autoreload 6152 11932 Watching for file changes with StatReloader
django.server INFO 2025-02-25 10:31:27,423 basehttp 6152 3888 "GET / HTTP/1.1" 302 0
django.server INFO 2025-02-25 10:31:27,485 basehttp 6152 3888 "GET /accounts/login/ HTTP/1.1" 200 1424
django.server WARNING 2025-02-25 10:31:27,603 basehttp 6152 3888 "GET /static/css/styles.css HTTP/1.1" 404 1969
django INFO 2025-02-25 10:31:32,804 views 6152 33632 User logged in: matt
django.server INFO 2025-02-25 10:31:32,922 basehttp 6152 33632 "POST /accounts/login/ HTTP/1.1" 302 0
django.server INFO 2025-02-25 10:31:32,967 basehttp 6152 33632 "GET /home/ HTTP/1.1" 200 1682
django.server WARNING 2025-02-25 10:31:33,056 basehttp 6152 33632 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:31:38,302 basehttp 6152 12928 "GET /leaderboard/ HTTP/1.1" 200 608
django.server INFO 2025-02-25 10:31:38,473 basehttp 6152 12928 "GET /static/leaderboard/styles.css HTTP/1.1" 200 725
django.server INFO 2025-02-25 10:31:45,331 basehttp 6152 12928 "GET /tasks/ HTTP/1.1" 200 3439
django.server WARNING 2025-02-25 10:31:45,385 basehttp 6152 12928 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:31:48,682 basehttp 6152 32576 "GET /get_location/1/? HTTP/1.1" 200 2198
django.server INFO 2025-02-25 10:31:48,735 basehttp 6152 32576 "GET /static/css/button.css HTTP/1.1" 304 0
django.server INFO 2025-02-25 10:31:50,747 basehttp 6152 32576 "GET /get_location/1/?lat=50.7309945&lon=-3.5420185 HTTP/1.1" 200 2069
django.server INFO 2025-02-25 10:31:55,816 basehttp 6152 32576 "GET /tasks/ HTTP/1.1" 200 3439
django.server WARNING 2025-02-25 10:31:55,863 basehttp 6152 32576 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:32:01,205 basehttp 6152 8884 "GET /home/ HTTP/1.1" 200 1682
django.server WARNING 2025-02-25 10:32:01,261 basehttp 6152 8884 "GET /static/css/styles.css HTTP/1.1" 404 1969
django INFO 2025-02-25 10:32:05,423 views 6152 9008 User asked for personal data stored: matt
django.server INFO 2025-02-25 10:32:05,442 basehttp 6152 9008 "GET /home/accounts/view_data/ HTTP/1.1" 200 1316
django.server WARNING 2025-02-25 10:32:05,491 basehttp 6152 9008 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:32:13,208 basehttp 6152 10572 "GET /home/ HTTP/1.1" 200 1682
django.server WARNING 2025-02-25 10:32:13,277 basehttp 6152 10572 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:32:16,880 basehttp 6152 13996 "GET /home/accounts/update_profile/ HTTP/1.1" 200 1521
django.server WARNING 2025-02-25 10:32:16,931 basehttp 6152 13996 "GET /static/css/styles.css HTTP/1.1" 404 1969
django INFO 2025-02-25 10:32:19,359 views 6152 30884 User updated profile (username & email): matt123
django.server INFO 2025-02-25 10:32:19,360 basehttp 6152 30884 "POST /home/accounts/update_profile/ HTTP/1.1" 302 0
django.server INFO 2025-02-25 10:32:19,384 basehttp 6152 30884 "GET /home/ HTTP/1.1" 200 1685
django.server WARNING 2025-02-25 10:32:19,439 basehttp 6152 30884 "GET /static/css/styles.css HTTP/1.1" 404 1969
django INFO 2025-02-25 10:32:20,914 views 6152 21280 User asked for personal data stored: matt123
django.server INFO 2025-02-25 10:32:20,932 basehttp 6152 21280 "GET /home/accounts/view_data/ HTTP/1.1" 200 1355
django.server WARNING 2025-02-25 10:32:20,984 basehttp 6152 21280 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:32:26,855 basehttp 6152 7580 "GET /home/ HTTP/1.1" 200 1685
django.server WARNING 2025-02-25 10:32:26,933 basehttp 6152 7580 "GET /static/css/styles.css HTTP/1.1" 404 1969
django INFO 2025-02-25 10:32:27,581 views 6152 33636 User logged out: matt123
django.server INFO 2025-02-25 10:32:27,581 basehttp 6152 33636 "GET /home/accounts/logout/ HTTP/1.1" 302 0
django.server INFO 2025-02-25 10:32:27,588 basehttp 6152 33636 "GET /home/accounts/login/ HTTP/1.1" 200 1424
django.server WARNING 2025-02-25 10:32:27,666 basehttp 6152 33636 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.utils.autoreload INFO 2025-02-25 10:34:04,970 autoreload 32424 26292 Watching for file changes with StatReloader
django.server INFO 2025-02-25 10:34:08,203 basehttp 32424 20600 "GET / HTTP/1.1" 302 0
django.server INFO 2025-02-25 10:34:08,246 basehttp 32424 20600 "GET /accounts/login/ HTTP/1.1" 200 1424
django.server WARNING 2025-02-25 10:34:08,349 basehttp 32424 20600 "GET /static/css/styles.css HTTP/1.1" 404 1969
django INFO 2025-02-25 10:34:16,384 views 32424 26132 User logged in: dc754
django.server INFO 2025-02-25 10:34:16,466 basehttp 32424 26132 "POST /accounts/login/ HTTP/1.1" 302 0
django.server INFO 2025-02-25 10:34:16,506 basehttp 32424 26132 "GET /home/ HTTP/1.1" 200 1735
django.server WARNING 2025-02-25 10:34:16,554 basehttp 32424 26132 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:34:18,192 basehttp 32424 26520 "GET /PrivacyPolicy/ HTTP/1.1" 200 72592
django.utils.autoreload INFO 2025-02-25 10:36:25,646 autoreload 32828 8920 Watching for file changes with StatReloader
django.server INFO 2025-02-25 10:36:27,353 basehttp 32828 21672 "GET / HTTP/1.1" 302 0
django.server INFO 2025-02-25 10:36:27,402 basehttp 32828 21672 "GET /accounts/login/ HTTP/1.1" 200 1539
django.server WARNING 2025-02-25 10:36:27,500 basehttp 32828 21672 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:36:30,799 basehttp 32828 17860 "GET /TermsAndConditions/ HTTP/1.1" 200 34408
django.server INFO 2025-02-25 10:36:32,793 basehttp 32828 17860 "GET /accounts/login/ HTTP/1.1" 200 1539
django.server INFO 2025-02-25 10:36:34,106 basehttp 32828 17860 "GET /PrivacyPolicy/ HTTP/1.1" 200 72592
django.server INFO 2025-02-25 10:36:35,285 basehttp 32828 17860 "GET /accounts/login/ HTTP/1.1" 200 1539
django.server INFO 2025-02-25 10:36:38,299 basehttp 32828 17860 "GET /home/signup/ HTTP/1.1" 200 2526
django.server WARNING 2025-02-25 10:36:38,349 basehttp 32828 17860 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.server INFO 2025-02-25 10:36:39,652 basehttp 32828 10572 "GET /PrivacyPolicy/ HTTP/1.1" 200 72592
django.server INFO 2025-02-25 10:36:42,199 basehttp 32828 10572 "GET /TermsAndConditions/ HTTP/1.1" 200 34408
django.utils.autoreload INFO 2025-03-05 14:07:10,841 autoreload 3639 140479276384384 Watching for file changes with StatReloader
django.utils.autoreload INFO 2025-03-05 14:08:02,240 autoreload 3908 139936450732160 Watching for file changes with StatReloader
django.utils.autoreload INFO 2025-03-05 14:08:13,294 autoreload 4093 139825920651392 Watching for file changes with StatReloader
django.server INFO 2025-03-05 14:08:15,926 basehttp 4093 139825875994304 "GET / HTTP/1.1" 302 0
django.server INFO 2025-03-05 14:08:15,957 basehttp 4093 139825875994304 "GET /accounts/login/ HTTP/1.1" 200 1539
django.server WARNING 2025-03-05 14:08:16,045 basehttp 4093 139825875994304 "GET /static/css/styles.css HTTP/1.1" 404 1969
django.request WARNING 2025-03-05 14:08:16,131 log 4093 139825875994304 Not Found: /favicon.ico
django.server WARNING 2025-03-05 14:08:16,131 basehttp 4093 139825875994304 "GET /favicon.ico HTTP/1.1" 404 4253
django.server INFO 2025-03-05 14:08:21,229 basehttp 4093 139825875994304 "GET /home/signup/ HTTP/1.1" 200 2544
django.server WARNING 2025-03-05 14:08:21,260 basehttp 4093 139825875994304 "GET /static/css/styles.css HTTP/1.1" 404 1969
django WARNING 2025-03-05 14:08:37,358 views 4093 139825875994304 Failed signup attempt.
django.server INFO 2025-03-05 14:08:37,359 basehttp 4093 139825875994304 "POST /home/signup/ HTTP/1.1" 200 2680
django.server WARNING 2025-03-05 14:08:37,404 basehttp 4093 139825875994304 "GET /static/css/styles.css HTTP/1.1" 404 1969
django INFO 2025-03-05 14:08:55,787 views 4093 139825875994304 User logged in: testingsomething
django INFO 2025-03-05 14:08:55,789 views 4093 139825875994304 New user signed up: testingsomething
django.server INFO 2025-03-05 14:08:55,797 basehttp 4093 139825875994304 "POST /home/signup/ HTTP/1.1" 302 0
django.request ERROR 2025-03-05 14:08:55,819 log 4093 139825875994304 Internal Server Error: /home/
Traceback (most recent call last):
  File "/home/finn/Group-Engineering-Project/.venv/lib/python3.12/site-packages/django/core/handlers/exception.py", line 55, in inner
    response = get_response(request)
               ^^^^^^^^^^^^^^^^^^^^^
